Title,Authors,Journal
Automatic detection of EEG artefacts arising from head movements using EEG and gyroscope signals,"OaRegan, Simon; Faul, Stephen; Marnane, William.","Medical Engineering & Physics Vol. 35, Iss. 7,  (Jul 1, 2013): 867-874."
Outpatient ambulatory EEG as an option for epilepsy surgery evaluation instead of inpatient EEG telemetry.,"Rizvi, Syed A; Téllez Zenteno, José F; Crawford, Sara L; Wu, Adam; National Library of Medicine.","Epilepsy & behavior case reports Vol. 1,  (2013): 39-41."
Automatic detection of EEG artefacts arising from head movements using EEG and gyroscope signals,"OaRegan, Simon; Faul, Stephen; Marnane, William.","Medical Engineering & Physics Vol. 35, Iss. 7,  (July 1, 2013): 867-874. [Duplicate]"
Enhanced Susceptibility to Spontaneous Seizures of Noda Epileptic Rats by Loss of Synaptic Zn2+,"Takeda, Atsushi; Iida, Masashi; Ando, Masaki; Nakamura, Masatoshi; Tamano, Haruna; et al.","PLoS One; San Francisco Vol. 8, Iss. 8,  (Aug 2013): e71372."
Examining factors related to accelerated long-term forgetting in epilepsy using ambulatory EEG monitoring,"Fitzgerald, Zoë; Thayer, Zoë; Mohamed, Armin; Miller, Laurie A.","Epilepsia Vol. 54, Iss. 5,  (May 2013): 819-827."
Prolonged Ketamine Effects in Sp4 Hypomorphic Mice: Mimicking Phenotypes of Schizophrenia,"Ji, Baohu; Wang, Xin; Pinto-Duarte, Antonio; Kim, Minjung; Caldwell, Sorana; et al.","PLoS One; San Francisco Vol. 8, Iss. 6,  (Jun 2013): e66327."
"Rapid sensitization of physiological, neuronal, and locomotor effects of nicotine: Critical role of peripheral drug actions","Lenoir, Magalie; Tang, Jeremy S; Woods, Amina S; Kiyatkin, Eugene A.","The Journal of Neuroscience Vol. 33, Iss. 24,  (Jun 12, 2013): 9937-9949."
Histamine from Brain Resident MAST Cells Promotes Wakefulness and Modulates Behavioral States,"Chikahisa, Sachiko; Kodama, Tohru; Soya, Atsushi; Sagawa, Yohei; Ishimaru, Yuji; et al.","PLoS One; San Francisco Vol. 8, Iss. 10,  (Oct 2013): e78434."
"Rapid Sensitization of Physiological, Neuronal, and Locomotor Effects of Nicotine: Critical Role of Peripheral Drug Actions","Lenoir, Magalie; Tang, Jeremy S; Woods, Amina S; Kiyatkin, Eugene A.","Journal of Neuroscience Vol. 33, Iss. 24,  (June 12, 2013): 9937-9949. [Duplicate]"
Déjà vu phenomenon-related EEG pattern. Case report.,"Vlasov, P N; Chervyakov, A V; Gnezditskii, V V; National Library of Medicine.","Epilepsy & behavior case reports Vol. 1,  (2013): 136-141."
Validation of the Zebrafish Pentylenetetrazol Seizure Model: Locomotor versus Electrographic Responses to Antiepileptic Drugs,"Afrikanova, Tatiana; Serruys, Ann-Sophie K; Buenafe, Olivia E M; Clinckers, Ralph; Smolders, Ilse; et al.","PLoS One; San Francisco Vol. 8, Iss. 1,  (Jan 2013): e54166."
EEG during pedaling: Evidence for cortical control of locomotor tasks,"Jain, Sanket; Gourab, Krishnaj; Schindler-Ivens, Sheila; Schmit, Brian D.","Clinical Neurophysiology Vol. 124, Iss. 2,  (Feb 2013): 379-390."
Operation of a brain-computer interface walking simulator for individuals with spinal cord injury,"King, Christine E; Wang, Po T; Chui, Luis A; Do, An H; Nenadic, Zoran.","Journal of NeuroEngineering and Rehabilitation Vol. 10, Iss. 1,  (2013): 77."
CD40 activation induces NREM sleep and modulates genes associated with sleep homeostasis,"Gast, Heidemarie; Mueller, Andreas; Lopez, Martin; Meier, Daniel; Huber, Reto; et al.","Brain, Behavior, and Immunity Vol. 27,  (Jan 2013): 133-144."
The LIM Homeodomain Protein Lhx6 Regulates Maturation of Interneurons and Network Excitability in the Mammalian Cortex,"Neves, Guilherme; Shah, Mala M; Liodis, Petros; Achimastou, Angeliki; Denaxa, Myrto; et al.","Cerebral Cortex Vol. 23, Iss. 8,  (August 2013): 1811-1823."
Exercise benefits for the aging brain depend on the accompanying cognitive load: insights from sleep electroencephalogram,"Horne, Jim.","Sleep Medicine Vol. 14, Iss. 11,  (Nov 1, 2013): 1208-1213."
Recognizing the degree of human attention using EEG signals from mobile sensors.,"Liu, Ning-Han; Chiang, Cheng-Yu; Chu, Hsuan-Chin; National Library of Medicine.","Sensors (Basel, Switzerland) Vol. 13, Iss. 8,  (August 9, 2013): 10273-10286."
