Title,Authors,Journal
Miniature neurologgers for flying pigeons: multichannel EEG and action and field potentials in combination with GPS recording.,"Vyssotski, Alexei L; Serkov, Andrei N; Itskov, Pavel M; Dell'Omo, Giacomo; Latanov, Alexander V; et al.","Journal of neurophysiology Vol. 95, Iss. 2,  (February 2006): 1263-1273."
Frequency of epileptiform EEG abnormalities in a sequential screening of autistic patients with no known clinical epilepsy from 1996 to 2005,"Chez, Michael G; Chang, Mina; Krasne, Valerie; Coughlan, Carolyn; Kominsky, Matthew; et al.","Epilepsy & Behavior Vol. 8, Iss. 1,  (Feb 2006): 267-271."
Non-epileptic clinical diagnoses in children referred for an outpatient EEC using video monitoring,"Apakama, Okwuchi; Appleton, Richard.","Epileptic Disorders Vol. 8, Iss. 2,  (Jun 2006): 156-158."
"""Fatigue"" of medullary but not mesencephalic raphe serotonergic neurons during locomotion in cats","Fornal, Casimir A; Martín-Cora, Francisco J; Jacobs, Barry L.","Brain Research Vol. 1072, Iss. 1,  (Feb 2006): 55-61."
Nitric oxide from the laterodorsal tegmental neurons: its possible retrograde modulation on norepinephrine release from the axon terminal of the locus coeruleus neurons.,"Kodama, T; Koyama, Y; National Library of Medicine.","Neuroscience Vol. 138, Iss. 1,  (2006): 245-256."
The septal EEG suggests a distributed organization of the pacemaker of hippocampal theta in the rat,"Nerad, Ludek; McNaughton, Neil.","European Journal of Neuroscience Vol. 24, Iss. 1,  (Jul 2006): 155-166."
Wakefulness-sleep cycle and hypothalamo-pituitary system of young rat pups on the background of photostimulation,"Aristakesyan, E A; Kuzik, V V; Makina, D M; Oganesyan, G A.","Journal of Evolutionary Biochemistry and Physiology Vol. 42, Iss. 3,  (May 2006): 308-318."
Source-to-sensation level ratio of transmitted biosonar pulses in an echolocating false killer whale,"Supin, A Y; Nachtigall, P E; Breese, M.","Journal of the Acoustical Society of America Vol. 120, Iss. 1,  (July 2006): 518-526."
Bispectral index-guided desflurane and propofol anesthesia in ambulatory arthroscopy: comparison of recovery and discharge profiles.,"Camci, Emre; Koltka, Kemalettin; Celenk, Yasemin; Tugrul, Mehmet; Pembeci, Kamil; et al.","Journal of anesthesia Vol. 20, Iss. 2,  (2006): 149-152."
Frequency of epileptiform EEG abnormalities in a sequential screening of autistic patients with no known clinical epilepsy from 1996 to 2005.,"Chez, Michael G; Chang, Mina; Krasne, Valerie; Coughlan, Carolyn; Kominsky, Matthew; et al.","Epilepsy & behavior : E&B Vol. 8, Iss. 1,  (February 2006): 267-271. [Duplicate]"
Cerebral state index: comparison between pairwise registrations from the left and the right sides of the brain.,"Anderson, R E; Jakobsson, J G; National Library of Medicine.","British journal of anaesthesia Vol. 97, Iss. 3,  (September 2006): 347-350."
Microdialysis in freely moving animals with simultaneous recording of electrophysiological processes at the dialysate collection point.,"Korshunov, V A; National Library of Medicine.","Neuroscience and behavioral physiology Vol. 36, Iss. 6,  (July 2006): 583-587."
"Acetylcholine release, EEG spectral analysis, sleep staging and body temperature studies: a multiparametric approach on freely moving rats.","Crouzier, David; Baubichon, Dominique; Bourbon, Frédéric; Testylier, Guy; National Library of Medicine.","Journal of neuroscience methods Vol. 151, Iss. 2,  (March 15, 2006): 159-167."
"Cerebral state monitor, a new small handheld EEG monitor for determining depth of anaesthesia: a clinical comparison with the bispectral index during day-surgery.","Anderson, R E; Jakobsson, J G; National Library of Medicine.","European journal of anaesthesiology Vol. 23, Iss. 3,  (March 2006): 208-212."
A TinyOS-enabled MICA2-based wireless neural interface.,"Farshchi, Shahin; Nuyujukian, Paul H; Pesterev, Aleksey; Mody, Istvan; Judy, Jack W; et al.","IEEE transactions on bio-medical engineering Vol. 53, Iss. 7,  (July 2006): 1416-1424."
QT prolongation and minor head trauma: a report of two cases.,"Koturoglu, G; Kurugol, Z; Levent, E; National Library of Medicine.","Minerva pediatrica Vol. 58, Iss. 6,  (December 2006): 575-577."
Cerebral state index response to incision: a clinical study in day-surgical patients.,"Anderson, R E; Jakobsson, J G; National Library of Medicine.","Acta anaesthesiologica Scandinavica Vol. 50, Iss. 6,  (July 2006): 749-753."
