Title,Authors,Journal
From cognitive motor preparation to visual processing: The benefits of childhood fitness to brain health,"Berchicci, M; Pontifex, M B; Drollette, E S; Pesce, C; Hillman, CH; et al.","Neuroscience Vol. 298,  (Jul 2015): 211-219."
Multiple stages of information processing are modulated during acute bouts of exercise,"Bullock, T; Cecotti, H; Giesbrecht, B.","Neuroscience Vol. 307,  (20151000): 138-150."
P300-based brain-computer interface (BCI) event-related potentials (ERPs): People with amyotrophic lateral sclerosis (ALS) vs. age-matched controls,"McCane, Lynn M; Heckman, Susan M; McFarland, Dennis J; Townsend, George; Mak, Joseph N; et al.","Clinical Neurophysiology Vol. 126, Iss. 11,  (Nov 2015): 2124-2131."
Electrophysiological evidence for the involvement of proactive and reactive control in a rewarded stop-signal task,"Schevernels, Hanne; Bombeke, Klaas; Van der Borght, Liesbet; Hopf, Jens-Max; Krebs, Ruth M; et al.","NeuroImage Vol. 121,  (November 2015): 115-125."
Event-related brain potentials during the visuomotor mental rotation task: The contingent negative variation scales to angle of rotation,"Heath, M; Hassall, C D; MacLean, S; Krigolson, O E.","Neuroscience Vol. 311,  (December 2015): 153-165."
Differential recruitment of brain networks during visuospatial and color processing: Evidence from ERP microstates,"Antonova, I; Baenninger, A; Dierks, T; Griskova-Bulanova, I; Koenig, T; et al.","Neuroscience Vol. 305,  (20151000): 128-138."
Issues and considerations for using the scalp surface Laplacian in EEG/ERP research: A tutorial review,"Kayser, Jürgen; Tenke, Craig E.","International Journal of Psychophysiology Vol. 97, Iss. 3,  (Sep 2015): 189-209."
Clinical neurophysiology of hepatic encephalopathy.,"Amodio, Piero; Montagnese, Sara; National Library of Medicine.","Journal of clinical and experimental hepatology Vol. 5,  (March 2015): S60-S68."
Changes of olfactory processing in childhood and adolescence,"Schriever, V A; Boerner, C; Mori, E; Smitka, M; Hummel, T.","Neuroscience Vol. 287,  (Feb 2015): 15-22."
A framework for a real time intelligent and interactive Brain Computer Interface,"Kumar, Shitij; Sahin, Ferat.","Computers & Electrical Engineering Vol. 43,  (April 2015): 193-214."
The effects of methadone maintenance treatment on heroin addicts with response inhibition function impairments: Evidence from event-related potentials,"Yang, Ling; Xu, Qiongying; Li, Shifeng; Zhao, Xin; Li, Ma; et al.","Journal of Food and Drug Analysis; Philadelphia Vol. 23, Iss. 2,  (Jun 2015): 260-266."
Adaptive grip force is modulated by subthalamic beta activity in Parkinson's disease patients.,"Imbach, Lukas L; Baumann-Vogel, Heide; Baumann, Christian R; Sürücü, Oguzkan; Hermsdörfer, Joachim; et al.","NeuroImage. Clinical Vol. 9,  (2015): 450-457."
Inhibition deficit in the spatial tendency of the response in multiple-domain amnestic mild cognitive impairment. An event-related potential study,"Cespón, Jesús; Galdo-Álvarez, Santiago; Díaz, Fernando.","Frontiers in Aging Neuroscience; Lausanne (May 6, 2015)."
Electrophysiologic recordings in traumatic brain injury.,"Schmitt, Sarah; Dichter, Marc A; National Library of Medicine.","Handbook of clinical neurology Vol. 127,  (2015): 319-339."
