Title,Authors,Journal
A Method for Simultaneous Evaluation of Muscular and Neural Prepulse Inhibition,"San-Martin, Rodrigo; Zimiani, Maria Inês; Noya, Claudemiro; Ávila, Milton Augusto Vendramini; Shuhama, Rosana; et al.","Frontiers in Neuroscience; Lausanne (Sep 26, 2018)."
Neural signature of event-related N200 and P300 modulation in parietal lobe during human response inhibition,"Chikara, Rupesh Kumar; Komarov, Oleksii; Li-Wei, Ko.","International Journal of Computational Biology and Drug Design; Geneva Vol. 11, Iss. 1-2,  (2018): 171-182."
No Effect of Transcranial Direct Current Stimulation of the Auditory Cortex on Auditory-Evoked Potentials,"Kunzelmann, Katharina; Meier, Lea; Grieder, Matthias; Morishima, Yosuke; Dierks, Thomas.","Frontiers in Neuroscience; Lausanne (Nov 27, 2018)."
Remnants and changes in facial emotion processing in women with remitted borderline personality disorder: an EEG study,"Schneider, Isabella; Bertsch, Katja; Izurieta Hidalgo, Natalie A; Müller, Laura E; Schmahl, Christian; et al.","European Archives of Psychiatry and Clinical Neuroscience; Heidelberg Vol. 268, Iss. 4,  (Jun 2018): 429-439."
A Reinforcement-Based Learning Paradigm Increases Anatomical Learning and Retention—A Neuroeducation Study,"Anderson, Sarah J; Hecker, Kent G; Krigolson, Olave E; Jamniczky, Heather A.","Frontiers in Human Neuroscience; Lausanne (Feb 6, 2018)."
"Functional Dissociation of Latency-Variable, Stimulus- and Response-Locked Target P3 Sub-components in Task-Switching","Brydges, Christopher R; Barceló, Francisco.","Frontiers in Human Neuroscience; Lausanne (Feb 20, 2018)."
Eyes-Closed Increases the Usability of Brain-Computer Interfaces Based on Auditory Event-Related Potentials,"Hübner, David; Schall, Albrecht; Prange, Natalie; Tangermann, Michael.","Frontiers in Human Neuroscience; Lausanne (Sep 28, 2018)."
Analysis of Age-Related Dynamics and Gender-Specific Characteristics of Spontaneous Bioelectrical Activity and Components of Auditory Evoked Potentials in Junior School Students Living in the Arctic Region of the Russian Federation,"Nagornova, Zh V; Shemyakina, N V; Belisheva, N K; Soroko, S I.","Human Physiology; New York Vol. 44, Iss. 2,  (2018): 191-201."
Properties of EEG Responses to Emotionally Significant Stimuli Using a P300 Wave-Based Brain–Computer Interface,"Ganin, I P; Kosichenko, E A; A Ya Kaplan.",Neuroscience and Behavioral Physiology; New York (Nov 2018): 1-7.
Quantifying fast optical signal and event-related potential relationships during a visual oddball task,"Proulx, Nicole; Ali-Akbar Samadani; Chau, Tom.","NeuroImage; Amsterdam Vol. 178,  (Sep 2018): 119-128."
Differential Effects of Intranasal Vasopressin on the Processing of Adult and Infant Cues: An ERP Study,"Wu, Xiaoyan; Xu, Pengfei; Yue-Jia, Luo; Chunliang Feng.","Frontiers in Human Neuroscience; Lausanne (Aug 15, 2018)."
Auditory Mismatch Negativity and P300a Elicited by the “Optimal” Multi-feature Paradigm in Early Schizophrenia,"Fisher, Derek J; Campbell, Debra J; Abriel, Shelagh C; Ells Emma M L; Rudolph, Erica D; et al.","Clinical EEG and Neuroscience; Wheaton Vol. 49, Iss. 4,  (Jul 2018): 238-247."
EEG-Based BCI Control Schemes for Lower-Limb Assistive-Robots,"Tariq, Madiha; Trivailo, Pavel M; Simic, Milan.","Frontiers in Human Neuroscience; Lausanne (Aug 6, 2018)."
Neurofeedback-Based Enhancement of Single-Trial Auditory Evoked Potentials: Treatment of Auditory Verbal Hallucinations in Schizophrenia,"Rieger, Kathryn; Marie-Helene Rarra; Laura Diaz Hernandez; Hubl, Daniela; Koenig, Thomas.","Clinical EEG and Neuroscience; Wheaton Vol. 49, Iss. 6,  (Nov 2018): 367-378."
A Comparison of Classifiers in a Task Consisting of Classifying Single Visual Event-Related Cortical Potentials in Humans,"Agapov, S N; Bulanov, V A; Zakharov, A V; Sergeeva, M S.",Neuroscience and Behavioral Physiology; New York (Nov 2018): 1-5.
Characteristics of Human Brain Activity during the Evaluation of Service-to-Service Brand Extension,"Yang, Taeyang; Lee, Seungji; Seomoon, Eunbi; Sung-Phil, Kim.","Frontiers in Human Neuroscience; Lausanne (Feb 9, 2018)."
A review on EEG-based methods for screening and diagnosing alcohol use disorder,Wajid Mumtaz; Pham Lam Vuong; Aamir Saeed Malik; Rusdi Bin Abd Rashid.,"Cognitive Neurodynamics; Dordrecht Vol. 12, Iss. 2,  (2018): 141-156."
Recommendations for Developing an EEG Laboratory at a Primarily Undergraduate Institution.,"Ledwidge, Patrick; Foust, Jeremy; Ramsey, Adam; National Library of Medicine.","Journal of undergraduate neuroscience education : JUNE : a publication of FUN, Faculty for Undergraduate Neuroscience Vol. 17, Iss. 1,  (2018): A10-A19."
"ASSESSING THE IMPACT OF CONGRUENT AND INCONGRUENT STIMULUS IN STROOP TASK, USING EVENT-RELATED POTENTIALS (ERP) IN PATIENTS WITH DEPRESSION","Yeganeh Shahsavar; Ghoshuni, Majid.","Biomedical Engineering: Applications, Basis, and Communications; Singapore Vol. 30, Iss. 5,  (Oct 2018)."
Motion-Based Rapid Serial Visual Presentation for Gaze-Independent Brain-Computer Interfaces,"Dong-Ok, Won; Han-Jeong, Hwang; Dong-Min, Kim; Klaus-Robert Muller; Lee, Seong-Whan.","IEEE Transactions on Neural Systems and Rehabilitation Engineering; New York Vol. 26, Iss. 2,  (2018): 334-343."
Cognitive Memory Comparison Between Tinnitus and Normal Cases Using Event-Related Potentials,"Asadpour, Abdoreza; Alavi, Ali; Jahed, Mehran; Mahmoudian, Saeid.","Frontiers in Integrative Neuroscience; Lausanne (Oct 12, 2018)."
Brain Activity Related to the Judgment of Face-Likeness: Correlation between EEG and Face-Like Evaluation,"Nihei, Yuji; Minami, Tetsuto; Nakauchi, Shigeki.","Frontiers in Human Neuroscience; Lausanne (Feb 16, 2018)."
A Reinforcement-Based Learning Paradigm Increases Anatomical Learning and Retention-A Neuroeducation Study.,"Anderson, Sarah J; Hecker, Kent G; Krigolson, Olave E; Jamniczky, Heather A; National Library of Medicine.","Frontiers in human neuroscience Vol. 12,  (2018): 38. [Duplicate]"
A gaze-independent audiovisual brain-computer Interface for detecting awareness of patients with disorders of consciousness,"Xie, Qiuyou; Pan, Jiahui; Chen, Yan; He, Yanbin; Ni, Xiaoxiao; et al.","BMC Neurology; London Vol. 18,  (2018)."
"Estimating the Timing of Cognitive Operations With MEG/EEG Latency Measures: A Primer, a Brief Tutorial, and an Implementation of Various Methods.","Liesefeld, Heinrich René; National Library of Medicine.","Frontiers in neuroscience Vol. 12,  (2018): 765."
The neural correlates of temperamental inhibitory control in toddlers,"Hoyniak, Caroline P; Petersen, Isaac T; Bates, John E; Molfese, Dennis L.","Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences; London Vol. 373, Iss. 1744,  (Apr 19, 2018): 20170160-20170160."
A reinforcement-based learning paradigm increases anatomical learning and retention—A neuroeducation study,"Anderson, Sarah J; Hecker, Kent G; Krigolson, Olave E; Jamniczky, Heather A.","Frontiers in Human Neuroscience Vol. 12,  (Feb 6, 2018). [Duplicate]"
Learning From the Slips of Others: Neural Correlates of Trust in Automated Agents,"de Visser, Ewart J; Beatty, Paul J; Estepp, Justin R; Kohn, Spencer; Abubshait, Abdulaziz; et al.","Frontiers in Human Neuroscience; Lausanne (Aug 10, 2018)."
High‐precision voluntary movements are largely independent of preceding vertex potentials elicited by sudden sensory events,"Kilintari, M; Bufacchi, R J; Novembre, G; Guo, Y; Haggard, P; et al.","The Journal of Physiology; London Vol. 596, Iss. 16,  (Aug 2018): 3655-3673."
Intrinsic EEG and task-related changes in EEG affect Go/NoGo task performance,"Karamacoska, Diana; Barry, Robert J; Steiner, Genevieve Z; Coleman, Elle P; Wilson, Emily J.","International Journal of Psychophysiology Vol. 125,  (Mar 2018): 17-28."
Task‐free auditory EEG paradigm for probing multiple levels of speech processing in the brain,"Gansonre, Christelle; Højlund, Andreas; Leminen, Alina; Bailey, Christopher; Shtyrov, Yury.","Psychophysiology; Oxford Vol. 55, Iss. 11,  (Nov 2018)."
A comprehensive analysis of auditory event‐related potentials and network oscillations in an NMDA receptor antagonist mouse model using a novel wireless recording technology,"Schuelert, Niklas; Cornelia Dorner‐Ciossek; Brendel, Michael; Rosenbrock, Holger.","Physiological Reports; Oxford Vol. 6, Iss. 16,  (Aug 2018)."
Brain-behavior relationships in externalizing: P3 amplitude reduction reflects deficient inhibitory control,"Brennan, Grace M; Baskin-Sommers, Arielle R.","Behavioural Brain Research Vol. 337,  (Jan 30, 2018): 70-79."
"Can a novel high-density EEG approach disentangle the differences of visual event related potential (N170), elicited by negative facial stimuli, in people with subjective cognitive impairment?","Lazarou, Ioulietta; Adam, Katerina; Georgiadis, Kostas; Tsolaki, Anthoula; Nikolopoulos, Spiros; et al.","Journal of Alzheimer's Disease Vol. 65, Iss. 2,  (2018): 543-575."
Stimuli and Feature Extraction Algorithms for Brain-Computer Interfaces: A Systematic Comparison,"Bittencourt-Villalpando, Mayra; Maurits, Natasha M.","IEEE Transactions on Neural Systems and Rehabilitation Engineering; New York Vol. 26, Iss. 9,  (2018): 1669-1679."
"Estimating the Timing of Cognitive Operations With MEG/EEG Latency Measures: A Primer, a Brief Tutorial, and an Implementation of Various Methods","Liesefeld, Heinrich René.","Frontiers in Neuroscience; Lausanne (Oct 25, 2018)."
An Event-Related Potential study of letter spacing during visual word recognition,"Sacchi, Elizabeth; Mirchin, Ryan; Laszlo, Sarah.","Brain Research Vol. 1684,  (Apr 1, 2018): 9-20."
Music reading expertise modulates hemispheric lateralization in English word processing but not in Chinese character processing,"Li, Sara Tze Kwan; Hsiao, Janet Hui-wen.","Cognition Vol. 176,  (Jul 2018): 159-173."
Moving Beyond ERP Components: A Selective Review of Approaches to Integrate EEG and Behavior,"Bridwell, David A; Cavanagh, James F; Collins, Anne G E; Nunez, Michael D; Srinivasan, Ramesh; et al.","Frontiers in Human Neuroscience; Lausanne (Mar 26, 2018)."
"Can a Novel High-Density EEG Approach Disentangle the Differences of Visual Event Related Potential (N170), Elicited by Negative Facial Stimuli, in People with Subjective Cognitive Impairment?","Lazarou, Ioulietta; Adam, Katerina; Georgiadis, Kostas; Tsolaki, Anthoula; Nikolopoulos, Spiros; et al.","Journal of Alzheimer's Disease; Amsterdam Vol. 65, Iss. 2,  (2018): 543-575. [Duplicate]"
Optimizing Within-Subject Experimental Designs for jICA of Multi-Channel ERP and fMRI,"Mangalathu-Arumana, Jain; Liebenthal, Einat; Beardsley, Scott A.","Frontiers in Neuroscience; Lausanne (Jan 23, 2018)."
Visually Evoked Response Differences to Contrast and Motion in Children with Autism Spectrum Disorder,"Shuffrey, Lauren C; Levinson, Lisa; Becerra, Alexis; Pak, Grace; Dayna Moya Sepulveda; et al.","Brain Sciences; Basel Vol. 8, Iss. 9,  (Sep 2018)."
Dorsolateral Prefrontal Transcranial Direct Current Stimulation Modulates Language Processing but Does Not Facilitate Overt Second Language Word Production,"Radman, Narges; Britz, Juliane; Buetler, Karin; Weekes, Brendan S; Spierer, Lucas; et al.","Frontiers in Neuroscience; Lausanne (Jul 25, 2018)."
Cortical Excitability and Interhemispheric Connectivity in Early Relapsing–Remitting Multiple Sclerosis Studied With TMS-EEG,"Zipser, Carl M; Premoli, Isabella; Belardinelli, Paolo; Castellanos, Nazareth; Rivolta, Davide; et al.","Frontiers in Neuroscience; Lausanne (Jun 8, 2018)."
Early visual ERPs show stable body-sensitive patterns over a 4-week test period,"Groves, Katie; Kennett, Steffan; Gillmeister, Helge.","PLoS One; San Francisco Vol. 13, Iss. 2,  (Feb 2018): e0192583."
Auditory neural networks involved in attention modulation prefer biologically significant sounds and exhibit sexual dimorphism in anurans,"Xue Fei; Xizi, Yue; Fan Yanzhu; Cui Jianguo; Brauth, Steven E; et al.","Journal of Experimental Biology; Cambridge Vol. 221, Iss. 5,  (Mar 1, 2018): jeb167775-jeb167775."
The impact of trust decision-making on outcome processing: Evidence from brain potentials and neural oscillations,"Hu, Xinmu; Xu, Zhenhua; Li, Yanju; Mai, Xiaoqin.","Neuropsychologia Vol. 119,  (Oct 2018): 136-144."
Neural Processing of Musical and Vocal Emotions Through Cochlear Implants Simulation,"Ahmed, Duha G; Paquette, Sebastian; Zeitouni, Anthony; Lehmann, Alexandre.","Clinical EEG and Neuroscience; Wheaton Vol. 49, Iss. 3,  (May 2018): 143-151."
Effects of Subanesthetic Ketamine Administration on Visual and Auditory Event-Related Potentials (ERP) in Humans: A Systematic Review,"Schwertner, André; Zortea, Maxciel; Torres, Felipe V; Caumo, Wolnei.","Frontiers in Behavioral Neuroscience; Lausanne (Apr 16, 2018)."
"FieldTrip Made Easy: An Analysis Protocol for Group Analysis of the Auditory Steady State Brain Response in Time, Frequency, and Space","Popov, Tzvetan; Oostenveld, Robert; Schoffelen, Jan M.","Frontiers in Neuroscience; Lausanne (Oct 9, 2018)."
Electrophysiological underpinnings of response variability in the Go/NoGo task,"Karamacoska, Diana; Barry, Robert J; Steiner, Genevieve Z.","International Journal of Psychophysiology Vol. 134,  (Dec 2018): 159-167."
Use of Electroencephalography for the Study of Gain–Loss Asymmetry in Intertemporal Decision-Making,"Zhao, Lei; Shi, Zuoli; Zheng, Qian; Chu, Huadong; Xu, Lin; et al.","Frontiers in Neuroscience; Lausanne (Dec 21, 2018)."
Effect of Non-invasive Vagus Nerve Stimulation on Resting-State Electroencephalography and Laser-Evoked Potentials in Migraine Patients: Mechanistic Insights,"Vecchio, Eleonora; Bassez, Iege; Ricci, Katia; Tassorelli, Cristina; Liebler, Eric; et al.","Frontiers in Human Neuroscience; Lausanne (Sep 13, 2018)."
Auditory Event-related Potentials in Mild Cognitive Impairment and Alzheimer's Disease,"Morrison, Cassandra; Rabipour, Sheida; Knoefel, Frank; Sheppard, Christine; Taler, Vanessa.","Current Alzheimer Research; Sharjah Vol. 15, Iss. 8,  (Jul 2018): 702-715."
"Functional Dissociation of Latency-Variable, Stimulus- and Response-Locked Target P3 Sub-components in Task-Switching.","Brydges, Christopher R; Barceló, Francisco; National Library of Medicine.","Frontiers in human neuroscience Vol. 12,  (2018): 60. [Duplicate]"
Social aversive conditioning in youth at clinical high risk for psychosis and with psychosis: An ERP study,"Watters, Anna J; Rupert, Petra E; Wolf, Daniel H; Calkins, Monica E; Gur, Ruben C; et al.","Schizophrenia Research Vol. 202,  (Dec 2018): 291-296."
Neurofeedback-Based Enhancement of Single Trial Auditory Evoked Potentials: Feasibility in Healthy Subjects,"Rieger, Kathryn; Marie-Helene, Rarra; Moor, Nicolas; Diaz Hernandez Laura; Baenninger Anja; et al.","Clinical EEG and Neuroscience; Wheaton Vol. 49, Iss. 2,  (Mar 2018): 79-92. [Duplicate]"
Spatial filtering pipeline evaluation of cortically coupled computer vision system for rapid serial visual presentation,"Wang, Zhengwei; Healy, Graham; Smeaton, Alan F; Ward, Tomas E.","Brain-Computer Interfaces Vol. 5, Iss. 4,  (Dec 2018): 132-145."
A Method for Simultaneous Evaluation of Muscular and Neural Prepulse Inhibition.,"San-Martin, Rodrigo; Zimiani, Maria Inês; Noya, Claudemiro; Ávila, Milton Augusto Vendramini; Shuhama, Rosana; et al.","Frontiers in neuroscience Vol. 12,  (2018): 654. [Duplicate]"
Comparison of Four Control Methods for a Five-Choice Assistive Technology,"Halder, Sebastian; Takano, Kouji; Kansaku, Kenji.","Frontiers in Human Neuroscience; Lausanne (Jun 6, 2018)."
