Title,Authors,Journal
"Systems, Subjects, Sessions: To What Extent Do These Factors Influence EEG Data?","Melnik, Andrew; Legkov, Petr; Izdebski, Krzysztof; Kärcher, Silke M; Hairston, W David; et al.","Frontiers in Human Neuroscience; Lausanne (Mar 30, 2017)."
Neurophysiological maturation in adolescence – vulnerability and counteracting addiction to alcohol,"Chwedorowicz, Roman; Skarżyński, Henryk; Pucek, Weronika; Studziński, Tadeusz.","Annals of Agricultural and Environmental Medicine; Lublin Vol. 24, Iss. 1,  (2017): 19-25."
The neurogenesis of P1 and N1: A concurrent EEG/LFP study,"Bruyns-Haylett, Michael; Luo, Jingjing; Kennerley, Aneurin J; Harris, Sam; Boorman, Luke; et al.","NeuroImage; Amsterdam Vol. 146,  (Feb 1, 2017): 575-588."
Cortical arousal in children and adolescents with functional neurological symptoms during the auditory oddball task.,"Kozlowska, Kasia; Melkonian, Dmitriy; Spooner, Chris J; Scher, Stephen; Meares, Russell; et al.","NeuroImage. Clinical Vol. 13,  (2017): 228-236."
Variation in Event-Related Potentials by State Transitions,"Higashi, Hiroshi; Minami, Tetsuto; Nakauchi, Shigeki.","Frontiers in Human Neuroscience; Lausanne (Feb 27, 2017)."
Understanding the Influences of EEG Reference: A Large-Scale Brain Network Perspective,"Lei, Xu; Liao, Keren.","Frontiers in Neuroscience; Lausanne (Apr 13, 2017)."
Executive Functions and Performance Variability Measured by Event-Related Potentials to Understand the Neural Bases of Perceptual Decision-Making,"Perri, Rinaldo L; Di Russo, Francesco.","Frontiers in Human Neuroscience; Lausanne (Nov 15, 2017)."
Source localization of S-cone and L/M-cone driven signals using silent substitution flash stimulation,"Klee, Sascha; Liebermann, Jens; Haueisen, Jens.","Elektromedizinische Technik. Biomedical Engineering; Berlin Vol. 62, Iss. 3,  (2017): 339-348."
"I act, therefore I err: EEG correlates of success and failure in a virtual throwing game","Yazmir, Boris; Reiner, Miriam.","International Journal of Psychophysiology Vol. 122,  (Dec 2017): 32-41."
The neurogenesis of P1 and N1: A concurrent EEG/LFP study,"Bruyns-Haylett, Michael; Luo, Jingjing; Kennerley, Aneurin J; Harris, Sam; Boorman, Luke; et al.","NeuroImage Vol. 146,  (February 2017): 575-588. [Duplicate]"
Delayed Copying of Unfamiliar Outline Images: Analysis of Stimulus Presentation-Related Potentials,"Korneev, A A; Lomakin, D I; Kurganskii, A V; Machinskaya, R I.","Neuroscience and Behavioral Physiology; New York Vol. 47, Iss. 8,  (Oct 2017): 976-986."
Abstinent Heroin Addicts Tend to Take Risks: ERP and Source Localization,"Zhao, Qinglin; Li, Hongqian; Hu, Bin; Wu, Haiyan; Liu, Quanying.","Frontiers in Neuroscience; Lausanne (Dec 6, 2017)."
