Title,Authors,Journal
Time and frequency domain event-related electrical activity associated with response control in schizophrenia,"Doege, Kathrin; Kumar, Mahendra; Bates, Alan Thomas; Das, Debasis; Boks, Marco Paul Maria; et al.","Clinical Neurophysiology Vol. 121, Iss. 10,  (Oct 2010): 1760-1771."
Time-frequency analysis of movement-related spectral power in EEG during repetitive movements: A comparison of methods,"Allen, David P; MacKinnon, Colum D.","Journal of Neuroscience Methods Vol. 186, Iss. 1,  (Jan 30, 2010): 107-115."
Short-term EEG spectral pattern as a single event in EEG phenomenology.,"Fingelkurts, Al A; Fingelkurts, An A; National Library of Medicine.","The open neuroimaging journal Vol. 4,  (September 8, 2010): 130-156."
Dynamic links between theta executive functions and alpha storage buffers in auditory and visual working memory,"Kawasaki, Masahiro; Kitajo, Keiichi; Yamaguchi, Yoko.","European Journal of Neuroscience Vol. 31, Iss. 9,  (May 2010): 1683-1689."
Editorial: EEG Phenomenology and Multiple Faces of Short-term EEG Spectral Pattern.,"Fingelkurts, Al A; Fingelkurts, An A; National Library of Medicine.","The open neuroimaging journal Vol. 4,  (September 8, 2010): 111-113."
Single-trial EEG power and phase dynamics associated with voluntary response inhibition,"Yamanaka, Kentaro; Yamamoto, Yoshiharu.","Journal of Cognitive Neuroscience Vol. 22, Iss. 4,  (Apr 2010): 714-727."
Effects of word frequency on semantic memory in schizophrenia: Electrophysiological evidence for a deficit in linguistic access,"Condray, Ruth; Siegle, Greg J; Keshavan, Matcheri S; Steinhauer, Stuart R.","International Journal of Psychophysiology Vol. 75, Iss. 2,  (Feb 2010): 141-156."
Reciprocal relationships between the oscillatory systems of the brain,"Knyazev, G. G; Slobodskoi-Plyusnin, Ya. Yu; Savost'yanov, A. N; Levin, E. A; Bocharov, A. V.","Neuroscience and Behavioral Physiology Vol. 40, Iss. 1,  (Jan 2010): 29-35."
Oscillatory correlates of vibrotactile frequency processing in human working memory,"Spitzer, Bernhard; Wacker, Evelin; Blankenburg, Felix.","The Journal of Neuroscience Vol. 30, Iss. 12,  (Mar 24, 2010): 4496-4502."
Analysis of slow-wave activity and slow-wave oscillations prior to somnambulism.,"Jaar, Olivier; Pilon, Mathieu; Carrier, Julie; Montplaisir, Jacques; Zadra, Antonio; et al.","Sleep Vol. 33, Iss. 11,  (November 2010): 1511-1516."
EEG signatures of auditory activity correlate with simultaneously recorded fMRI responses in humans,"Mayhew, Stephen D; Dirckx, Sharon G; Niazy, Rami K; Iannetti, Gian D; Wise, Richard G.","NeuroImage Vol. 49, Iss. 1,  (Jan 1, 2010): 849-864."
The electrophysiological correlate of saliency: Evidence from a figure-detection task,"Straube, Sirko; Fahle, Manfred.","Brain Research Vol. 1307,  (Jan 11, 2010): 89-102."
