Title,Authors,Journal
Phase-coupling of theta--Gamma EEG rhythms during short-term memory processing,"Schack, B; Vath, N; Petsche, H; Geissler, H. - G; Möller, E.","International Journal of Psychophysiology Vol. 44, Iss. 2,  (May 2002): 143-163."
Dopamine modulates involuntary attention shifting and reorienting: An electromagnetic study,"Kähkönen, Seppo; Ahveninen, Jyrki; Pekkonen, Eero; Kaakkola, Seppo; Huttunen, Juha; et al.","Clinical Neurophysiology Vol. 113, Iss. 12,  (Dec 2002): 1894-1902."
Functional connectivity of gamma EEG activity is modulated at low frequency during conscious recollection,"Burgess, Adrian P; Ali, Lia.","International Journal of Psychophysiology Vol. 46, Iss. 2,  (Nov 2002): 91-100."
Grouping of spindle activity during slow oscillations in human non-rapid eye movement sleep,"Mölle, Matthias; Marshall, Lisa; Gais, Steffen; Born, Jan.","The Journal of Neuroscience Vol. 22, Iss. 24,  (Dec 2002): 10941-10947."
A large-scale simulation of the piriform cortex by a cell automaton-based network model,"Claverol, E T; Brown, AD; Chad, JE.","IEEE Transactions on Biomedical Engineering Vol. 49, Iss. 9,  (2002)."
Time-Variant Investigation of Quadratic Phase Couplings Caused by Amplitude Modulation in Electroencephalic Burst-Suppression Patterns,"Arnold, Matthias; Witte, Herbert; Schelenz, Christoph.","Journal of Clinical Monitoring and Computing Vol. 17, Iss. 2,  (Feb 2002): 115-115."
Research report: The size of corpus callosum and functional connectivities of cortical regions in finger and shoulder movements,"Lucking, Carl H; Kristeva-Feige, Rumyana.","Cognitive Brain Research Vol. 13, Iss. 1,  (Feb 2002): 61-74."
Neurotoxicity of Lindane and Picrotoxin: Neurochemical and Electrophysiological Correlates in the Rat Hippocampus In Vivo,"Nyitrai, Gabriella; Kekesi, Katalin A; Szilagyi, Nora; Papp, Andrea; Juhasz, Gabor; et al.","Neurochemical Research Vol. 27, Iss. 1-2,  (February 2002): 139-145."
Cortical focus drives widespread corticothalamic networks during spontaneous absence seizures in rats,"Meeren, Hanneke K. M; Pijn, Jan Pieter M; Van Luijtelaar, Egidius L. J. M; Coenen, Anton M. L; da Silva, Fernando H. Lopes.","The Journal of Neuroscience Vol. 22, Iss. 4,  (Feb 2002): 1480-1495."
Epileptic fast activity can be explained by a model of impaired GABAergic dendritic inhibition,"Wendling, F; Bartolomei, F; Bellanger, J J; Chauvel, P.","European Journal of Neuroscience Vol. 15, Iss. 9,  (May 2002): 1499-1508."
"Pain perception, hypnosis and 40 Hz oscillations","Croft, Rodney J; Williams, John D; Haenschel, Corinna; Gruzelier, John H.","International Journal of Psychophysiology Vol. 46, Iss. 2,  (Nov 2002): 101-108."
Theta oscillations and human navigation: A magnetoencephalography study,"de Araújo, Dráulio B; Baffa, Oswaldo; Wakai, Ronald T.","Journal of Cognitive Neuroscience Vol. 14, Iss. 1,  (Jan 2002): 70-78."
Developmental event-related gamma oscillations: Effects of auditory attention,"Yordanova, Juliana; Kolev, Vasil; Heinrich, Hartmut; Woerner, Wolfgang; Banaschewski, Tobias; et al.","European Journal of Neuroscience Vol. 16, Iss. 11,  (Dec 2002): 2214-2224."
"Wisconsin Card Sorting Test synchronizes the prefrontal, temporal and posterior association cortex in different frequency ranges and extensions","González-Hernández, José Alberto; Pita-Alcorta, Concepción; Cedeño, Illuminada; Bosch-Bayard, Jorge; Galán-Garcia, Lídice; et al.","Human Brain Mapping Vol. 17, Iss. 1,  (Sep 2002): 37-47."
The relationship between the visually evoked P300 event-related potential and gamma band oscillation in the human medial and basal temporal lobes: An electrographic study,"Watanabe, N; Hirai, N; Maehara, T; Kawai, K; Shimizu, H; et al.","Neuroscience Research Vol. 44, Iss. 4,  (Dec 2002): 421-427."
Potential changes with gamma-band oscillation at the frontal scalp elicited by intravenous olfactory stimulation in humans,"Ishimaru, Tadashi; Hatanaka, Sachiko; Yata, Tsuyoshi; Horikawa, Isao; Tsukatani, Toshiaki; et al.","Chemical Senses Vol. 27, Iss. 8,  (Oct 2002): 711-717."
Spatial buffering during slow and paroxysmal sleep oscillations in cortical networks of glial cells in vivo,"Amzica, Florin; Massimini, Marcello; Manfridi, Alfredo.","The Journal of Neuroscience Vol. 22, Iss. 3,  (Feb 2002): 1042-1053."
