Title,Authors,Journal
Cardiac abnormalities discovered during long-term monitoring for epilepsy,"Herder, Lisa A.","American Journal of Electroneurodiagnostic Technology Vol. 48, Iss. 3,  (Sep 2008): 192-198."
Cortical glucose metabolism positively correlates with gamma-oscillations in nonlesional focal epilepsy,"Nishida, Masaaki; Juhász, Csaba; Sood, Sandeep; Chugani, Harry T; Asano, Eishi.","NeuroImage Vol. 42, Iss. 4,  (Oct 1, 2008): 1275-1284."
Development of cortical connections as measured by EEG coherence and phase delays,"Thatcher, Robert W; North, Duane M; Biver, Carl J.","Human Brain Mapping Vol. 29, Iss. 12,  (Dec 2008): 1400-1415."
Shift-invariant multilinear decomposition of neuroimaging data,"Mørup, Morten; Hansen, Lars Kai; Arnfred, Sidse Marie; Lim, Lek-Heng; Madsen, Kristoffer Hougaard.","NeuroImage Vol. 42, Iss. 4,  (Oct 1, 2008): 1439-1450."
Quantification of the benefit from integrating MEG and EEG data in minimum ℓ₂-norm estimation,"Molins, A; Stufflebeam, S.M; Brown, E.N; Hämäläinen, M. S.","NeuroImage Vol. 42, Iss. 3,  (Sep 2008): 1069-1077."
Effects of age and task complexity on EEG and performance in relation to psychological states,"Bonnefond, Anne; Rohmer, Odile; Engasser, Ophélie; Hoeft, Alain; Eschenlauer, Roland; et al.","Journal of Psychophysiology Vol. 22, Iss. 2,  (2008): 100-109."
Frequency-selective gamma generators in processing of auditory stimuli,"Danilova, Natalia N.","Psychology in Russia: State of the Art Vol. 1,  (2008): 299-308."
A multimethod investigation of the Behavioral Activation System in bipolar disorder,"Hayden, Elizabeth P; Bodkins, Misty; Brenner, Colleen; Shekhar, Anantha; Nurnberger, John I., Jr; et al.","Journal of Abnormal Psychology Vol. 117, Iss. 1,  (Feb 2008): 164-170."
Structure of the cortical networks during successful memory encoding in TV commercials,"De Vico Fallani, Fabrizio; Astolfi, Laura; Cincotti, Febo; Mattia, Donatella; Marciani, Maria Grazia; et al.","Clinical Neurophysiology Vol. 119, Iss. 10,  (Oct 2008): 2231-2237."
EEG connectivity patterns in childhood sexual abuse: A multivariate application considering curvature of brain space,"Black, Lisa M; Hudspeth, William J; Townsend, Alicia L; Bodenhamer-Davis, Eugenia.","Journal of Neurotherapy Vol. 12, Iss. 2-3,  (2008): 141-160."
"Diagnostic and prognostic use of bispectral index in coma, vegetative state and related disorders","Schnakers, C; Ledoux, D; Majerus, S; Damas, P; Damas, F; et al.","Brain Injury Vol. 22, Iss. 12,  (Nov 2008): 926-931."
