Title,Authors,Journal
Rhythmic and periodic EEG patterns of ‘ictal–interictal uncertainty’ in critically ill neurological patients,"Koren, Johannes P; Herta, Johannes; Pirker, Susanne; Fürbass, Franz; Hartmann, Manfred; et al.","Clinical Neurophysiology Vol. 127, Iss. 2,  (Feb 2016): 1176-1181."
Rewarming affects EEG background in term newborns with hypoxic–ischemic encephalopathy undergoing therapeutic hypothermia,"Birca, Ala; Lortie, Anne; Birca, Veronica; Decarie, Jean-Claude; Veilleux, Annie; et al.","Clinical Neurophysiology Vol. 127, Iss. 4,  (Apr 2016): 2087-2094."
Grading hypoxic–ischemic encephalopathy severity in neonatal eeg using gmm supervectors and the support vector machine,"Ahmed, Rehan; Temko, Andriy; Marnane, William; Lightbody, Gordon; Boylan, Geraldine.","Clinical Neurophysiology Vol. 127, Iss. 1,  (Jan 2016): 297-309."
Early averted gaze processing in the right Fusiform Gyrus: An EEG source imaging study,"Berchio, Cristina; Rihs, Tonia A; Piguet, Camille; Dayer, Alexandre G; Aubry, Jean-Michel; et al.","Biological Psychology Vol. 119,  (Sep 2016): 156-170."
Postdeviance distraction in younger and older adults: Neuro-behavioral evidence from speech perception,"Getzmann, Stephan; Wascher, Edmund.","Psychology and Aging Vol. 31, Iss. 8,  (Dec 2016): 943-957."
Automatic EEG-assisted retrospective motion correction for fmRI (aE-REMCOR),"Wong, Chung-Ki; Zotev, Vadim; Misaki, Masaya; Phillips, Raquel; Luo, Qingfei; et al.","NeuroImage Vol. 129,  (Apr 1, 2016): 133-147."
Neural mechanisms of inhibitory response in a battlefield scenario: A simultaneous fMRI-EEG study,"Ko, Li-Wei; Shih, Yi-Cheng; Chikara, Rupesh Kumar; Chuang, Ya-Ting; Chang, Erik C.","Frontiers in Human Neuroscience Vol. 10,  (May 2, 2016)."
Intracranial EEG analysis in tumor-related epilepsy: Evidence of distant epileptic abnormalities,"Mittal, S; Barkmeier, D; Hua, J; Pai, D. S; Fuerst, D; et al.","Clinical Neurophysiology Vol. 127, Iss. 1,  (Jan 2016): 238-244."
Altered brain microstate dynamics in adolescents with narcolepsy,"Drissi, Natasha M; Szakács, Attila; Witt, Suzanne T; Wretman, Anna; Ulander, Martin; et al.","Frontiers in Human Neuroscience Vol. 10,  (Aug 3, 2016)."
Altered brain rhythms and functional network disruptions involved in patients with generalized fixation-off epilepsy,"Solana, Ana Beatriz; Martínez, Kenia; Hernández-Tamames, Juan Antonio; San Antonio-Arce, Victoria; Toledano, Rafael; et al.","Brain Imaging and Behavior Vol. 10, Iss. 2,  (Jun 2016): 373-386."
